"Item 1","Item 2","Item 3","Item 4","Item 5"
85,38,50,7,89
101,13,102,62,15
99,15,89,18,87
36,46,6,74,56
29,35,109,58,32
92,8,105,14,22
89,61,2,28,86
65,42,43,32,30
96,56,34,61,54
103,93,107,54,100
12,11,5,6,102
93,47,111,41,12
16,66,87,9,28
96,45,18,43,3
106,13,4,12,29
25,27,19,20,22
42,2,10,73,29
84,55,101,43,20
93,88,107,101,84
56,20,30,41,27
83,76,1,37,30
65,50,25,37,87
104,60,104,95,86
98,77,42,44,66
39,42,29,36,74
41,10,96,75,79
83,36,60,46,29
99,18,109,26,24
54,33,3,34,10
36,10,3,33,23
84,38,30,37,66
3,1,25,44,27
111,94,100,36,27
40,20,3,49,1
9,29,106,2,20
108,39,32,86,48
7,80,60,81,17
83,32,23,54,70
58,26,30,29,82
11,59,11,6,60
3,10,99,1,3
103,100,111,56,89
85,6,48,27,57
75,34,27,86,31
110,104,111,5,107
32,41,59,39,66
70,37,83,70,79
67,60,89,87,81
53,23,94,21,38
67,27,85,10,11
75,48,1,1,30
98,33,21,59,41
98,48,11,46,75
44,69,6,72,73
95,59,1,56,96
98,30,39,83,76
84,13,94,55,12
78,59,77,33,92
82,60,111,79,100
105,34,109,9,19
92,31,69,24,104
79,11,12,20,27
38,79,83,72,71
66,13,13,29,45
90,60,54,89,27
91,30,7,88,95
53,47,10,64,82
69,6,16,84,27
69,26,83,75,103
95,10,25,62,74
17,99,7,87,87
24,20,85,111,78
54,9,5,33,64
21,59,77,33,73
100,53,77,56,65
87,99,94,95,111
51,27,54,35,37
70,27,81,30,83
82,17,70,79,43
68,13,36,12,32
37,28,46,81,40
51,8,78,18,27
53,43,52,45,30
101,55,66,32,28
43,1,1,50,66
35,42,12,34,59
108,8,107,55,89
68,5,6,18,28
106,106,101,27,32
68,88,103,80,86
99,108,103,98,92
60,17,25,65,72
68,20,58,20,97
55,77,85,26,26
95,22,6,37,88
50,22,54,51,52
55,31,73,83,13
60,43,5,60,23
46,38,1,65,56
38,34,106,3,70
54,7,5,91,8
94,32,25,90,87
96,65,86,31,29
75,27,40,32,46
58,46,26,34,75
95,26,3,105,15
50,10,19,21,54
52,22,1,14,89
42,41,81,43,71
81,22,88,90,7
86,13,20,47,17
12,21,101,105,21
91,33,99,15,87
72,18,51,10,20
104,110,60,68,87
87,1,1,1,1
40,40,55,47,75
51,30,52,36,51
93,32,12,18,78
17,7,7,16,20
99,61,10,19,56
52,5,8,28,65
73,20,1,7,25
40,67,14,92,82
74,44,53,60,34
70,40,40,15,53
47,1,39,35,55
72,44,104,68,78
53,65,36,52,24
36,65,76,78,87
79,83,51,79,55
47,17,59,19,25
78,27,76,101,97
73,13,45,17,4
51,63,44,62,25
63,76,80,65,53
104,107,95,101,93
52,47,59,14,111
103,85,100,94,57
21,13,101,9,31
22,59,95,36,19
85,58,90,62,83
47,52,36,41,46
88,15,50,37,75
83,21,13,19,34
55,40,11,38,67
93,92,105,92,93
108,65,81,51,82
59,22,93,11,12
34,35,24,23,37
53,10,9,13,15
99,105,53,103,103
12,5,20,3,3
58,50,2,36,28
27,12,2,35,30
99,63,89,60,56
87,71,59,56,38
86,12,92,105,10
52,8,44,11,20
46,82,54,31,34
50,33,77,24,54
84,41,80,84,48
14,13,40,12,13
33,29,9,95,30
60,45,36,54,53
27,89,50,84,109
85,25,58,60,33
58,31,85,58,27
38,96,87,79,70
54,30,16,16,18
26,41,36,52,53
54,36,68,69,54
108,25,66,56,71
35,32,30,47,27
18,2,86,17,20
55,27,55,80,41
106,31,2,40,98
67,40,76,65,77
111,1,111,30,12
79,56,60,17,98
108,58,79,39,1
53,111,54,1,111
78,60,80,27,74
49,41,14,38,31
33,31,18,52,42
47,66,50,52,15
82,80,88,58,50
28,2,20,75,73
35,48,2,58,75
101,29,52,38,75
88,26,89,16,89
50,33,79,53,32
84,73,90,26,50
44,51,15,40,51
35,1,28,29,30
22,35,77,46,76
71,18,65,55,41
52,59,75,69,100
51,2,52,102,102
102,52,3,105,111
90,65,91,80,80
32,17,57,45,54
91,95,95,57,92
47,45,44,68,67
56,65,58,72,78
40,18,85,54,85
52,24,79,27,36
61,2,24,111,91
25,9,11,15,27
75,83,12,36,7
49,1,102,11,5
27,42,45,83,43
67,5,24,3,6
62,7,83,105,17
108,5,5,111,108
59,6,23,93,66
55,45,62,59,56
78,72,62,23,23
89,20,72,18,29
42,34,23,27,21
53,30,101,75,105
57,62,1,89,23
110,26,60,28,25
8,4,20,1,74
20,2,1,57,10
108,79,39,57,75
56,55,36,38,40
70,59,15,69,19
75,4,111,3,9
74,96,95,25,106
31,28,31,60,52
69,39,22,52,66
83,35,29,38,28
1,27,31,54,8
67,1,1,56,1
63,68,85,21,19
39,95,111,12,17
1,1,37,1,111
25,28,38,43,49
87,1,1,97,61
17,15,90,19,32
97,76,66,87,75
74,30,5,14,34
97,39,16,71,26
94,6,65,106,85
111,10,93,20,7
25,40,72,75,78
72,43,48,54,40
85,24,94,21,26
111,21,80,12,7
93,1,1,8,1
17,24,1,21,25
97,38,5,32,29
55,73,84,65,23
39,20,46,5,21
31,48,64,32,58
111,55,30,84,37
38,30,1,26,57
20,16,33,16,25
69,27,10,36,65
103,12,10,9,12
90,100,111,76,93
21,30,23,52,63
99,5,111,111,111
9,39,9,11,73
111,20,1,111,106
30,34,45,14,18
10,13,30,4,3
98,17,6,55,106
58,79,78,31,40
108,89,59,25,98
90,51,82,58,80
81,29,13,64,78
103,110,111,109,111
53,5,17,9,8
45,59,111,1,111
66,15,92,7,59
69,15,100,28,26
50,61,15,11,18
58,85,10,6,26
33,80,13,105,110
30,8,85,14,106
75,22,58,23,21
55,101,2,3,79
86,11,111,86,20
59,18,29,55,108
111,103,111,93,55
83,14,12,82,2
95,20,89,59,28
100,8,67,52,58
73,47,57,35,79
61,46,81,56,34
79,5,111,91,111
60,58,60,72,71
68,23,11,11,69
51,41,75,60,16
55,45,46,54,36
70,42,15,18,67
75,45,98,84,44
48,33,88,57,81
78,15,101,67,69
57,56,58,41,55
48,65,51,32,27
51,34,63,81,90
93,33,80,25,25
83,13,87,23,86
54,59,1,111,64
68,68,75,59,57
85,29,33,36,52
91,74,59,43,57
30,27,99,93,8
108,83,78,84,88
68,21,79,37,83
43,45,90,80,58
52,11,62,91,79
86,48,67,56,46
73,51,70,55,74
106,10,85,69,69
73,2,35,2,13
98,39,12,57,56
98,26,46,86,80
79,62,28,106,108
81,35,54,76,39
105,23,22,56,63
57,33,99,45,103
99,47,62,59,89
19,28,80,82,64
55,1,82,1,25
53,60,50,48,57
111,3,93,74,20
36,73,54,31,74
44,10,100,38,92
18,19,19,15,40
56,23,84,21,82
84,20,76,88,45
33,23,30,47,69
83,74,85,55,78
61,40,31,75,90
18,32,105,58,16
54,43,18,53,80
74,11,55,45,78
97,6,103,74,83
30,32,80,35,65
84,24,108,61,30
55,42,81,101,102
68,42,35,40,47
50,71,74,53,105
54,92,3,90,79
72,18,35,39,30
43,41,84,33,31
12,21,72,18,76
85,96,57,30,56
53,8,11,55,13
80,28,72,23,54
25,1,70,15,70
97,54,35,57,53
62,60,32,92,98
24,23,62,44,79
23,7,109,48,100
54,24,14,52,20
73,12,48,26,31
3,6,107,5,102
51,52,43,26,64
89,2,53,23,40
4,63,108,8,53
8,8,6,7,5
23,30,98,18,52
63,59,18,53,22
6,9,6,7,103
24,1,1,79,1
6,15,40,3,106
3,8,107,97,106
60,88,59,75,74
27,19,111,105,100
14,8,11,16,102
27,58,77,46,51
10,12,9,10,9
6,3,3,10,14
95,34,83,64,68
59,16,41,45,64
55,102,71,49,41
86,84,1,111,10
96,29,1,98,1
34,5,105,54,24
40,16,53,55,23
40,45,78,72,13
76,13,80,42,73
101,11,80,64,65
49,47,52,35,30
54,38,17,95,77
63,35,77,42,58
110,110,108,91,90
105,39,80,52,65
99,83,44,83,18
44,28,8,16,12
90,58,79,62,60
65,6,100,75,25
68,62,46,50,91
64,41,91,94,87
79,13,44,34,11
51,63,11,81,51
25,74,98,54,56
40,28,36,24,26
100,76,54,77,43
97,93,73,81,79
39,26,80,6,11
101,9,87,43,81
33,20,12,20,51
50,54,3,4,45
103,13,99,53,87
54,34,100,34,100
63,28,54,65,68
3,42,47,51,47
87,86,90,55,61
55,24,59,28,59
68,51,52,35,36
70,19,47,54,62
51,56,34,53,74
104,16,87,60,52
94,50,77,53,74
80,25,86,84,83
106,62,52,100,99
74,53,81,79,32
54,39,105,95,42
55,1,21,28,23
47,44,18,32,51
65,50,80,20,29
24,61,97,85,84
58,58,60,60,15
79,13,16,78,16
87,57,4,72,68
40,61,40,20,33
54,21,25,19,48
50,45,103,102,5
111,1,109,108,1
14,2,88,16,22
2,1,1,1,1
93,16,33,72,31
84,88,91,101,103
57,11,13,56,55
73,61,88,50,37
27,30,16,25,90
54,7,92,54,23
75,7,3,15,83
98,31,51,23,26
22,23,37,51,74
19,35,21,58,37
34,30,26,26,25
110,31,82,54,41
44,18,57,21,8
25,20,97,18,31
66,33,1,88,81
48,26,50,27,27
59,24,38,72,48
82,28,34,52,35
15,104,1,79,105
92,9,19,71,72
84,41,3,20,10
77,71,15,18,50
92,32,24,16,37
86,57,70,27,18
52,43,26,75,91
104,66,37,68,91
55,27,4,111,3
17,34,41,46,31
78,17,88,103,57
91,81,88,1,1
52,1,54,1,1
10,8,79,20,9
56,2,57,2,1
52,10,104,103,101
66,19,53,56,51
84,9,67,49,45
38,15,56,56,47
54,1,89,95,111
52,16,79,32,41
59,10,33,29,56
71,13,40,25,35
71,27,43,8,17
96,20,73,49,79
93,6,50,51,70
96,55,70,71,41
48,3,61,72,62
36,4,1,53,56
108,11,56,48,11
39,68,57,45,57
34,23,26,10,7
54,43,36,44,56
75,17,57,78,4
2,5,4,13,13
51,20,17,51,51
53,25,29,79,40
50,35,38,9,2
55,18,16,18,13
23,30,7,15,8
67,42,76,64,66
39,36,26,30,51
9,100,23,20,30
31,27,109,52,2
58,58,56,17,14
73,46,76,87,58
51,20,11,31,15
23,15,56,28,52
67,56,21,85,56
89,58,56,83,35
9,18,103,111,14
66,63,35,55,44
45,38,79,42,82
50,51,54,80,55
62,6,6,13,4
31,61,39,55,47
25,33,27,30,3
109,4,25,52,31
72,38,20,8,109
28,78,70,51,51
45,30,26,78,21
1,45,1,15,1
22,41,55,91,87
62,51,16,63,58
50,41,66,52,54
58,3,102,90,100
56,5,56,53,3
39,48,42,40,31
5,13,46,15,30
35,26,80,85,55
56,29,70,33,30
53,42,41,58,63
55,12,55,19,15
9,5,6,83,56
6,3,33,13,15
2,3,34,6,2
13,30,22,24,55
1,3,1,1,1
51,29,15,17,17
110,103,99,102,101
89,33,52,54,52
87,30,15,21,19
65,111,2,110,1
105,15,108,109,63
110,111,1,55,110
110,3,110,1,1
75,45,41,36,35
110,23,49,16,23
1,111,107,105,107
72,69,53,57,58
110,69,79,83,10
96,54,91,85,78
110,50,107,77,71
88,28,8,87,105
46,40,1,16,52
12,28,1,94,102
52,52,42,48,35
14,11,99,35,44
56,54,57,60,61
107,8,106,106,106
72,9,101,1,1
44,45,45,8,92
11,17,43,61,23
61,24,62,23,23
86,27,92,35,34
66,46,40,53,56
84,29,80,83,17
68,24,42,82,88
37,41,82,63,53
22,27,83,28,33
51,9,100,93,21
17,21,4,11,50
86,97,50,86,33
65,67,29,46,11
65,87,45,85,84
91,40,102,30,42
108,4,29,64,50
66,31,9,73,26
41,6,35,97,95
99,92,1,54,98
107,2,3,2,2
81,19,75,15,13
56,63,73,43,69
77,24,40,46,30
23,22,96,45,61
33,49,21,43,11
93,33,87,29,15
65,36,20,46,42
90,9,19,63,55
18,43,46,14,28
89,62,79,51,44
96,68,77,109,110
30,20,40,87,16
41,43,43,40,20
16,47,20,64,56
22,31,87,25,20
92,76,28,108,86
14,36,105,11,30
70,43,52,75,85
17,23,46,15,17
82,46,32,111,88
27,4,26,29,45
92,86,10,51,53
111,7,10,10,88
62,70,15,84,82
72,37,47,30,37
70,19,52,36,32
48,60,36,8,33
15,9,98,19,13
91,43,59,85,91
100,102,14,103,14
65,44,81,79,86
47,23,9,83,13
83,79,86,33,72
22,22,77,12,2
60,65,27,60,59
53,16,32,41,32
10,13,11,9,12
25,28,55,71,53
51,37,70,30,17
42,36,58,46,23
35,49,17,45,22
40,34,2,75,82
97,36,98,56,63
93,83,95,23,15
97,60,72,53,69
99,10,107,5,1
89,56,90,12,111
96,17,46,50,51
31,11,102,6,106
77,37,64,75,38
66,49,95,15,51
17,29,95,15,42
94,53,21,73,63
84,42,92,31,28
54,16,56,12,12
111,38,40,1,83
101,32,11,50,30
100,18,50,24,38
91,13,54,15,30
53,12,11,57,75
60,19,52,35,35
28,60,33,33,72
72,29,67,81,13
87,26,70,33,57
92,39,23,76,28
52,98,93,55,30
93,35,104,56,34
49,30,47,51,14
48,23,94,16,21
52,13,90,52,9
18,18,7,16,11
99,61,99,6,61
80,28,52,28,34
49,7,11,10,20
85,67,105,60,83
87,47,110,55,30
25,62,45,29,33
22,24,97,35,60
57,14,2,23,10
107,66,11,90,14
80,99,83,1,1
53,51,49,48,59
23,24,20,70,25
22,12,102,100,10
50,51,62,83,30
95,9,1,13,88
53,48,70,72,31
48,86,100,20,14
80,61,89,84,76
94,83,107,93,100
7,14,8,94,6
18,111,80,94,100
78,76,107,75,102
101,19,16,42,26
70,42,95,50,99
93,20,14,50,53
92,70,106,54,28
35,27,4,1,16
60,59,90,31,21
68,23,52,80,30
91,46,77,26,73
3,73,103,72,10
60,13,90,53,59
104,23,90,100,107
43,45,44,28,38
85,62,6,22,54
59,19,50,26,18
52,26,93,100,97
111,62,1,111,78
107,30,108,108,105
50,35,39,35,54
53,30,17,92,24
83,77,73,83,73
83,25,102,31,5
10,1,1,1,13
91,57,87,18,19
85,14,10,15,66
86,70,67,57,21
82,15,9,11,53
103,18,103,55,81
65,24,85,54,40
58,9,27,18,30
50,63,104,45,45
12,27,24,57,29
16,17,41,12,85
40,18,15,31,36
20,32,70,23,32
65,7,32,19,14
53,97,8,92,94
111,36,84,88,80
107,40,59,75,48
44,38,21,54,76
101,36,24,60,12
20,21,93,18,78
19,12,3,8,8
14,17,37,29,102
82,88,7,31,75
18,8,104,12,14
96,40,103,84,52
108,104,24,24,18
29,79,85,87,33
36,48,30,63,69
81,59,34,32,80
92,22,56,44,69
51,103,21,8,19
48,22,11,105,10
51,39,23,30,50
3,2,2,12,105
53,19,111,7,2
28,38,13,28,58
2,28,79,5,38
24,25,104,19,15
93,29,73,94,56
103,95,91,68,96
100,94,108,102,8
57,19,77,11,20
36,13,33,58,27
11,12,102,3,12
62,35,12,16,82
42,33,75,38,42
80,100,83,86,31
70,27,12,30,67
83,33,17,80,46
84,25,63,44,41
95,21,101,17,83
55,27,91,67,52
24,10,13,10,11
84,14,67,70,88
58,71,78,36,37
75,9,2,62,17
89,23,109,12,10
72,26,104,84,36
90,35,28,30,42
72,83,97,35,38
96,31,90,31,86
107,88,108,89,76
41,79,95,20,34
29,27,84,99,95
46,20,20,45,31
44,36,19,91,20
52,23,39,32,39
26,16,13,46,10
83,11,58,35,29
110,8,76,92,1
85,44,78,80,52
76,46,14,82,30
94,60,20,65,54
78,94,80,85,82
70,41,70,63,68
92,1,53,24,28
64,33,53,77,64
39,41,18,25,41
37,13,105,20,28
108,31,38,23,46
70,21,90,69,89
102,2,18,1,1
36,39,2,109,77
57,75,86,12,80
98,3,106,84,42
59,30,8,28,82
53,41,15,36,72
52,60,54,77,57
98,47,36,28,35
77,36,20,82,53
44,10,76,2,38
7,56,7,56,82
52,36,15,39,17
56,24,110,50,5
76,12,88,25,19
60,11,62,4,35
104,43,100,7,100
52,43,69,15,9
69,17,28,6,12
16,9,103,13,16
32,18,52,37,13
31,35,69,71,25
101,68,109,90,89
71,21,43,13,19
26,24,111,56,22
101,35,83,57,65
82,27,10,74,45
47,41,37,14,32
31,11,4,12,4
46,41,7,14,56
55,27,5,34,86
8,10,10,12,10
52,26,54,50,19
110,47,97,83,87
56,30,52,38,36
60,99,1,9,29
111,20,100,60,3
110,3,5,9,17
107,36,52,24,52
53,36,61,42,33
67,42,62,35,33
89,19,90,57,20
73,10,111,37,83
28,11,3,4,68
60,28,103,20,74
82,50,83,26,21
83,56,17,109,4
87,61,83,28,53
111,1,111,1,1
94,77,92,19,81
97,108,111,60,56
86,68,20,19,80
99,29,25,54,40
93,6,111,20,90
93,26,50,56,35
15,45,15,31,90
73,7,77,51,60
50,68,6,50,64
99,14,12,14,111
44,85,16,27,44
54,95,2,54,40
67,10,83,76,10
71,7,104,74,52
34,9,40,12,104
35,9,35,12,32
50,35,26,27,25
44,4,98,30,1
44,4,98,30,1
36,24,46,34,25
50,53,50,35,22
96,20,7,6,20
96,20,7,6,20
48,1,75,33,30
43,32,103,17,44
18,33,59,26,11
19,9,64,8,93
